Name,TSB%,T_In_GW,T_Out_GW,datetime
Haaland,80.8,54347,88468,2022-11-01 16:40:42.624375
Haaland,80.6,61288,105857,2022-11-02 02:39:06.291488
Haaland,80.6,61288,105857,2022-11-02 03:04:55.960675
Haaland,80.6,61381,106085,2022-11-02 03:43:57.199155
Haaland,80.6,61421,106238,2022-11-02 04:15:24.919979
Haaland,80.6,61532,106546,2022-11-02 05:16:38.844722
Haaland,80.6,61581,106706,2022-11-02 05:55:06.475657
Haaland,80.6,61637,106889,2022-11-02 06:27:48.445312
Haaland,80.6,61722,107111,2022-11-02 06:55:50.857710
Haaland,80.6,61830,107336,2022-11-02 07:19:19.726506
Haaland,80.6,61959,107623,2022-11-02 07:36:52.517396
Haaland,80.6,61959,107623,2022-11-02 07:47:50.323985
Haaland,80.6,61959,107623,2022-11-02 07:58:13.679629
Haaland,80.6,62070,107950,2022-11-02 08:33:15.821862
Haaland,80.6,62211,108281,2022-11-02 08:53:12.346746
Haaland,80.6,62416,108899,2022-11-02 09:13:31.256913
Haaland,80.6,62416,108899,2022-11-02 09:35:19.089520
